Time	trailing_price	Low	Weighted_Price_Average	High	close_price	N_Transactions	Volume	Bid_Index	Ask_Index	EMA_12	EMA_26	EMA_DIF	MACD	EMA_Up	EMA_Down	RSI	TSI	EMA_Volume	OBV_Delta
1510038314	7170.01	7153.11	7159.21	7170.01	7162.89	75	12.58725668	6940.2	7407.34	7159.21	7159.21	0	0.0	0	7.119999999999891	0.0	-100.0	12.58725668	0
1510038434	7162.89	7160.77	7165.65	7169.5	7164.62	46	3.35459897	6931.91	7407.13	7160.200769	7159.687037	0.102746	0.410986	0.123571	6.611429	1.83	-99.46	11.1668478	3.35459897
1510038554	7164.62	7164.36	7166.12	7170.0	7166.05	37	3.32526883	6940.51	7407.22	7161.11142	7160.163553	0.27177	0.676097	0.216887	6.139184	3.41	-98.57	9.96045104	3.32526883
1510038674	7166.05	7166.05	7168.89	7170.0	7170.0	27	4.19833971	6929.6	7407.42	7162.308125	7160.809956	0.51705	0.981119	0.483538	5.700671	7.82	-96.59	9.07397237	4.19833971
1510038794	7170.0	7169.99	7170.0	7170.0	7170.0	34	11.30816019	6939.62	7408.08	7163.49149	7161.4907	0.813798	1.186992	0.449	5.29348	7.82	-94.95	9.41769357	0.0
1510038914	7170.0	7170.0	7170.07	7170.57	7170.57	35	3.010855	6940.14	7408.3	7164.503568	7162.126204	1.126511	1.250853	0.457643	4.915374	8.52	-93.39	8.4320261	3.010855
1510039034	7170.57	7170.56	7170.82	7170.85	7170.85	26	1.50301974	6939.94	7407.84	7165.475327	7162.770189	1.442236	1.262902	0.444954	4.564276	8.88	-91.97	7.36602512	1.50301974
1510039154	7170.85	7170.85	7174.52	7175.62	7175.6	46	7.91542273	6943.61	7409.51	7166.866815	7163.640545	1.799043	1.427227	0.752457	4.238256	15.08	-89.11	7.45054783	7.91542273
1510039274	7175.6	7175.59	7175.6	7175.6	7175.6	32	2.10533962	6943.8	7409.85	7168.210382	7164.526431	2.176025	1.507926	0.69871	3.935523	15.08	-86.69	6.62820811	0.0
1510039394	7175.6	7175.59	7177.85	7183.74	7180.78	49	4.40595863	6942.77	7408.68	7169.6934	7165.513362	2.576828	1.60321	1.018802	3.654414	21.8	-82.75	6.28632357	4.40595863
1510039514	7180.78	7180.76	7180.77	7180.77	7180.77	31	2.27759396	6946.51	7411.21	7171.397492	7166.643483	3.012264	1.741745	0.94603	3.394099	21.8	-79.41	5.66959594	-2.27759396
